dátum;leves;főétel;köret
2024.01.01;;fasírt;franciasaláta
2024.01.02;;szarvaspörkölt;nokedli
2024.01.03;maggileves;sült karaj;sült krumpli
2024.01.04;zöldséges bableves;;tepertős pogácsa
2024.01.05;zöldséges bableves;;tepertős pogácsa
2024.01.06;;borsópörkölt;
2024.01.07;csirkeraguleves;sült kacsacomb párolt lilakáposztával;hagymás tört krumpli
2024.01.08;;harasztos káposzta;
2024.01.09;csirkeraguleves;harasztos káposzta;
2024.01.10;;;
2024.01.11;;harasztos káposzta;
2024.01.12;;sült kolbász;hordós káposzta
2024.01.13;krumplileves;;tepertős pogácsa
2024.01.14;;kenyérlángos;
2024.01.15;;resztelt máj;főtt krumpli
2024.01.16;;resztelt máj;főtt krumpli
2024.01.17;;harasztos káposzta;
2024.01.18;zellerkrémleves;mac and cheese;
2024.01.19;sárgaborsókrémleves;mákosguba vaníliasodóval;
2024.01.20;;kocsonya;
2024.01.21;;kocsonya;
2024.01.22;;paradicsomos húsgombóc;
2024.01.23;;gombócos káposzta;
2024.01.24;;gombócos káposzta;
2024.01.25;;sült kolbász;
2024.01.26;tojásleves;paradicsomos húsgombóc;
2024.01.27;tyúkhúsleves;;orosz hússaláta
2024.01.28;tyúkhúsleves;rizses hús;
2024.01.29;tyúkhúsleves;rizses hús;
2024.01.30;tyúkhúsleves;tyúkpörkölt;nokedli
2024.01.31;;tökfőzelék;
2024.02.01;zöldségleves;rántott sajt;rizibizi
2024.02.02;zöldségleves;túrós tészta;
2024.02.03;;lazac roston;bulgur
2024.02.04;palóc leves;;pogácsa
2024.02.05;palóc leves;;pogácsa
2024.02.06;palóc leves;;pogácsa
2024.02.07;;;
2024.02.08;zellerkrémleves;grízes tészta;
2024.02.09;zellerkrémleves;halrudak;
2024.02.10;;tejszínes gombás brokkolis csirkemell;penne
2024.02.11;gombaleves;dubarry szelet;
2024.02.12;gombaleves;dubarry szelet;
2024.02.13;;sólet;
2024.02.14;;hurka;
2024.02.15;;sólet;
2024.02.16;abált lé;;
2024.02.17;halászlé;túrós tészta;
2024.02.18;halászlé;túrós tészta;
2024.02.19;;hurka kolbász;
2024.02.20;halászlé;túrós tészta;
2024.02.21;;;
2024.02.22;;milánói;spagetti
2024.02.23;;hurka kolbász;
2024.02.24;tárkonyos szarvasraguleves;;
2024.02.25;tárkonyos szarvasraguleves;;
2024.02.26;tárkonyos szarvasraguleves;;
2024.02.27;;rakott káposzta;
2024.02.28;;rakott káposzta;
2024.02.29;csontleves;tejszínes gombás brokkolis csirkemell;penne
2024.03.01;csontleves;tejszínes gombás brokkolis csirkemell;penne
2024.03.02;csontleves;sertéstokány;rizs
2024.03.03;;krumplifőzelék;
2024.03.04;karalábéleves;sertéstokány;rizs
2024.03.05;karalábéleves;;
2024.03.06;;füstölt makréla;sült krumpli
2024.03.07;;harasztos káposzta;
2024.03.08;;harasztos káposzta;
2024.03.09;;harasztos káposzta;
2024.03.10;;lencsefőzelék;
2024.03.11;;lencsefőzelék;
2024.03.12;;lencsefőzelék;
2024.03.13;;harasztos káposzta;
2024.03.14;;;
2024.03.15;babgulyás;;panna
2024.03.16;babgulyás;;panna
2024.03.17;babgulyás;tejszínes gombás brokkolis csirkemell;penne
2024.03.18;;tejszínes gombás brokkolis csirkemell;penne
2024.03.19;;tejszínes gombás brokkolis csirkemell;penne
2024.03.20;;pásztortarhonya;
2024.03.21;;tojásos tészta;
2024.03.22;;rakott krumpli;
2024.03.23;;rakott krumpli;
2024.03.24;;aszalt gyümölccsel töltött csirkemell;sült krumpli
2024.03.25;;aszalt gyümölccsel töltött csirkemell;sült krumpli
2024.03.26;;borsópörkölt;
