dátum;leves;főétel;köret
2024.03.27;;szarvastokány gombával;
2024.03.28;;burek;
2024.03.29;;tatár beefsteak;
2024.03.30;;saslik;
2024.03.31;;;
2024.04.01;;rántott hús;orosz hússaláta
2024.04.02;;rántott hús;orosz hússaláta
2024.04.03;;saslik;
2024.04.04;;rántott sajt;bulgur
2024.04.05;;túrós tészta;
2024.04.06;sárgaborsókrémleves;;kakaós csiga
2024.04.07;sárgaborsókrémleves;hamburger;
2024.04.08;;hurka;párolt káposzta
2024.04.09;;krumplifőzelék;
2024.04.10;sárgaborsókrémleves;;
2024.04.11;csontleves;;
2024.04.12;csontleves;;
2024.04.13;csontleves;;
2024.04.14;;rakott káposzta;
2024.04.15;;rakott káposzta;
2024.04.16;;babfőzelék;
2024.04.17;;tökfőzelék;fasírt
2024.04.18;;babfőzelék;fasírt
2024.04.19;csontleves;;
2024.04.20;csontleves;bakonyi sertésszelet;nokedli
2024.04.21;csontleves;bakonyi sertésszelet;nokedli
2024.04.22;;;
2024.04.23;;rizses hús;
2024.04.24;;káposztás tészta;
2024.04.25;;sajtos tészta;
2024.04.26;;;
2024.04.27;;;
2024.04.28;;szarvas bélszín erdei gyümölcsmártással;
2024.04.29;;szarvas bélszín erdei gyümölcsmártással;
2024.04.30;csontleves;;
2024.05.01;csontleves;;
2024.05.02;csontleves;szarvaspörkölt;nokedli
2024.05.03;;szarvaspörkölt;nokedli
2024.05.04;karalábéleves;grillezett csirkemell;rizs
2024.05.05;karalábéleves;sült karaj;sült krumpli
2024.05.06;;csirkemell roston;rizs
2024.05.07;;sült karaj;főtt krumpli
2024.05.08;;mákos tészta;
2024.05.09;;tökfőzelék;
2024.05.10;;hamburger;
2024.05.11;;szarvaspörkölt;főtt krumpli
2024.05.12;;szarvaspörkölt;főtt krumpli
2024.05.13;;szarvaspörkölt;tarhonya
2024.05.14;;szarvaspörkölt;tarhonya
2024.05.15;;krumplis tészta;
2024.05.16;;hurka;
2024.05.17;;;
2024.05.18;babgulyás;;panna
2024.05.19;babgulyás;;kelt kalácsok
2024.05.20;;rántott csirkemell;petrezselymes burgonya
2024.05.21;;rántott csirkemell;petrezselymes burgonya
2024.05.22;tarhonyaleves;;
2024.05.23;;lecsó;rizs
2024.05.24;;lecsó;rizs
2024.05.25;;rakott káposzta;
2024.05.26;;rakott káposzta;
2024.05.27;;rakott káposzta;
2024.05.28;;paprikás krumplis nokedli;saláta
2024.05.29;;lazac roston;bulgur
2024.05.30;;lazac roston;bulgur
2024.05.31;;túrós tészta;
2024.06.01;palóc leves;;tepertős pogácsa
2024.06.02;palóc leves;;tepertős pogácsa
2024.06.03;palóc leves;;tepertős pogácsa
2024.06.04;tojásleves;sertéspörkölt;tészta
2024.06.05;tojásleves;mákos tészta;
2024.06.06;;hurka;
2024.06.07;;hurka;
2024.06.08;borsóleves;lángos;
2024.06.09;borsóleves;sertésszűz budapest módra;rizs
2024.06.10;;sertésszűz budapest módra;rizs
2024.06.11;;sertésszűz budapest módra;rizs
2024.06.12;;;
2024.06.13;zöldségleves;;
2024.06.14;zöldségleves;resztelt máj;főtt krumpli
2024.06.15;tárkonyos szarvasraguleves;;
2024.06.16;tárkonyos szarvasraguleves;;
2024.06.17;tárkonyos szarvasraguleves;;
2024.06.18;;sertésszűz tejszínes gombamártással;farfalle
2024.06.19;;sertésszűz tejszínes gombamártással;farfalle
2024.06.20;;kenyérlángos;
2024.06.21;;milánói;spagetti
2024.06.22;;milánói;spagetti
2024.06.23;gyümölcsleves;rántott sajt;rizs
2024.06.24;gyümölcsleves;kenyérlángos;
2024.06.25;;kelkáposzta főzelék;fasírt
2024.06.26;;rántott sajt;rizs
2024.06.27;;pásztortarhonya;
2024.06.28;;;
2024.06.29;tárkonyos szarvasraguleves;;vargabéles
2024.06.30;tárkonyos szarvasraguleves;;vargabéles
2024.07.01;tárkonyos szarvasraguleves;;vargabéles
2024.07.02;;túrós tészta;
2024.07.03;zellerkrémleves;;
2024.07.04;csontleves;kelkáposzta főzelék;
2024.07.05;csontleves;kelkáposzta főzelék;
2024.07.06;csontleves;tökfőzelék;
2024.07.07;csontleves;milánói;spagetti
2024.07.08;csontleves;milánói;spagetti
2024.07.09;paradicsomleves;milánói;spagetti
2024.07.10;;;
2024.07.11;;lazac roston;zöldségsaláta
2024.07.12;;lazac roston;zöldségsaláta
2024.07.13;borsóleves;szarvaspörkölt;
2024.07.14;borsóleves;szarvaspörkölt;
2024.07.15;borsóleves;szarvaspörkölt;
2024.07.16;borsóleves;szarvaspörkölt;
2024.07.17;;rántott patiszon;rizs
2024.07.18;;rántott patiszon;rizs
2024.07.19;;harcsafilé roston;krumplipüré
2024.07.20;;harcsafilé roston;krumplipüré
2024.07.21;;tökfőzelék;fasírt
2024.07.22;;tökfőzelék;fasírt
2024.07.23;;lecsó;tarhonya
2024.07.24;;lecsó;tarhonya
2024.07.25;;túrós tészta;
2024.07.26;;sült csirkecomb;hagymás tört krumpli
2024.07.27;;sült csirkecomb;hagymás tört krumpli
2024.07.28;;szarvaspörkölt;nokedli
2024.07.29;;szarvaspörkölt;nokedli
2024.07.30;;szarvaspörkölt;nokedli
2024.07.31;;rántott sajt;rizs
2024.08.01;;káposztás tészta;
2024.08.02;;patiszontócsni;
2024.08.03;;szarvas szelet almaszósszal;főtt krumpli
2024.08.04;;;
2024.08.05;;;
2024.08.06;lebbencsleves;;
2024.08.07;lebbencsleves;tócsni;
2024.08.08;;hurka;
2024.08.09;;hurka;
2024.08.10;;;
2024.08.11;;bakonyi sertésszelet;nokedli
2024.08.12;;bakonyi sertésszelet;nokedli
2024.08.13;;tökfőzelék;
2024.08.14;;tökfőzelék;
2024.08.15;;sertéspörkölt;szarvacska
2024.08.16;;sertéspörkölt;szarvacska
2024.08.17;;lazac roston;rizs
2024.08.18;;csirkemell roston;
2024.08.19;;csirkemell roston;
2024.08.20;;;
2024.08.21;;tejszínes gombás sertésszűz;rizs
2024.08.22;;tejszínes gombás sertésszűz;rizs
2024.08.23;;túrós tészta;
2024.08.24;;lecsós tőkehal;rizs
2024.08.25;;lecsós tőkehal;rizs
2024.08.26;;tökfőzelék;fasírt
2024.08.27;csontleves;;
2024.08.28;csontleves;;
2024.08.29;csontleves;tökfőzelék;fasírt
2024.08.30;;;
2024.08.31;;;
2024.09.01;;sertéspörkölt;nokedli
2024.09.02;gyümölcsleves;patiszontócsni;
2024.09.03;gyümölcsleves;patiszontócsni;
2024.09.04;;;
2024.09.05;;;
2024.09.06;borsóleves;;
2024.09.07;;kelkáposzta főzelék;
2024.09.08;;kelkáposzta főzelék;
2024.09.09;;sült karaj;tócsni
2024.09.10;gyümölcsleves;sült karaj;tócsni
2024.09.11;gyümölcsleves;;
2024.09.12;csontleves;;
2024.09.13;csontleves;;
2024.09.14;;;
2024.09.15;;sertésszűz budapest módra;rizs
2024.09.16;gulyásleves;;
2024.09.17;;sertésszűz budapest módra;rizs
2024.09.18;;sertésszűz budapest módra;rizs
2024.09.19;;halrudak;bulgur
2024.09.20;;tojásos tészta;
2024.09.21;;rántott csirkemell;orosz hússaláta
2024.09.22;;rántott csirkemell;orosz hússaláta
2024.09.23;;rántott csirkemell;orosz hússaláta
2024.09.24;zöldséges bableves;;
2024.09.25;zöldséges bableves;;
2024.09.26;;sertéspörkölt;nokedli
2024.09.27;csontleves;;
2024.09.28;csontleves;;
2024.09.29;csontleves;;
2024.09.30;csontleves;káposztás tészta;
2024.10.01;sárgaborsókrémleves;;
2024.10.02;sárgaborsókrémleves;grillezett csirkemell;céklachips
2024.10.03;;grillezett csirkemell;céklachips
2024.10.04;;;
2024.10.05;palócleves;;tiroli rétes
2024.10.06;palócleves;;tiroli rétes
2024.10.07;palócleves;;tiroli rétes
2024.10.08;;sztrapacska;
2024.10.09;;sztrapacska;
2024.10.10;tojásleves;;
2024.10.11;;halrudak;krumplipüré
2024.10.12;paradicsomleves;krumplifőzelék;
2024.10.13;;pásztorpite;
2024.10.14;;pásztorpite;
2024.10.15;;pásztorpite;
2024.10.16;;tökfőzelék;
2024.10.17;csontleves;;
2024.10.18;csontleves;;
2024.10.19;csontleves;hortobágyi húsos palacsinta;
2024.10.20;csontleves;hortobágyi húsos palacsinta;
2024.10.21;;sült kacsacomb párolt lilakáposztával;hagymás tört krumpli
2024.10.22;;sült kacsacomb párolt lilakáposztával;hagymás tört krumpli
2024.10.23;;hurka;
2024.10.24;;rántott sajt;rizs
2024.10.25;;;
2024.10.26;májgombócleves;rakott kelkáposzta;
2024.10.27;májgombócleves;rakott kelkáposzta;
2024.10.28;brokkolikrémleves;rakott kelkáposzta;
2024.10.29;brokkolikrémleves;krumplis tészta;
2024.10.30;;tejszínes gombás brokkolis csirkemell;penne
2024.10.31;;tejszínes gombás brokkolis csirkemell;penne
2024.11.01;;csülökpörkölt;főtt krumpli
2024.11.02;;csülökpörkölt;főtt krumpli
2024.11.03;;picepörkölt;főtt krumpli
2024.11.04;sárgaborsókrémleves;milánói;spagetti
2024.11.05;sárgaborsókrémleves;milánói;spagetti
2024.11.06;;milánói;spagetti
2024.11.07;;kelkáposzta főzelék;virsli
2024.11.08;;kelkáposzta főzelék;virsli
2024.11.09;csontleves;tejszínes gombás sertésszűz;
2024.11.10;csontleves;tejszínes gombás sertésszűz;
2024.11.11;csontleves;tejszínes gombás sertésszűz;
2024.11.12;;sült kacsacomb párolt lilakáposztával;hagymás tört krumpli
2024.11.13;;sült kacsacomb párolt lilakáposztával;hagymás tört krumpli
2024.11.14;;;
2024.11.15;sárgaborsókrémleves;;
2024.11.16;sárgaborsókrémleves;;
2024.11.17;zöldségleves;csirkemell roston;rizs
2024.11.18;;csirkemell roston;rizs
2024.11.19;;;
2024.11.20;;káposztás tészta;
2024.11.21;csontleves;;
2024.11.22;csontleves;tejfölös hús;
2024.11.23;csontleves;tejfölös hús;
2024.11.24;;tejfölös hús;
2024.11.25;;babfőzelék;
2024.11.26;;tyúkpörkölt;nokedli
2024.11.27;;túrós tészta;
2024.11.28;;rántott máj;rizs
2024.11.29;;krumplifőzelék;
2024.11.30;;krumplifőzelék;
2024.12.01;;harasztos káposzta;
2024.12.02;;harasztos káposzta;
2024.12.03;;harasztos káposzta;
2024.12.04;;tökfőzelék;
2024.12.05;;harasztos káposzta;
2024.12.06;;harasztos káposzta;
2024.12.07;babgulyás;palacsinta;
2024.12.08;babgulyás;palacsinta;
2024.12.09;babgulyás;;
2024.12.10;;sóska;
2024.12.11;;harasztos káposzta;
2024.12.12;;sertéspörkölt;nokedli
2024.12.13;;sertéspörkölt;nokedli
2024.12.14;;krumplifőzelék;
2024.12.15;;borsópörkölt;
2024.12.16;;borsópörkölt;
2024.12.17;;krumplifőzelék;
2024.12.18;;krumplifőzelék;
2024.12.19;;rántott sajt;rizibizi
2024.12.20;;melegszendvics;
2024.12.21;halászlé;harcsapaprikás;túrós csusza
2024.12.22;halászlé;harcsapaprikás;túrós csusza
2024.12.23;halászlé;harcsapaprikás;túrós csusza
2024.12.24;;fatányéros;
2024.12.25;;szarvas bélszín erdei gyümölcsmártással;szalvétagombóc
2024.12.26;;;
2024.12.27;;;
2024.12.28;;kocsonya;
2024.12.29;;kocsonya;
2024.12.30;korhelyleves;lecsós szelet;rizs
2024.12.31;korhelyleves;lencsefőzelék;
