dátum;leves;főétel;köret
2022.04.25;;tejszínes gombás brokkolis csirkemell;penne
2022.04.26;;rizses hús;
2022.04.27;;csirkemell fahéjas almaszósszal;krokett
2022.04.28;;csirkemell fahéjas almaszósszal;krokett
2022.04.29;borsóleves;;panna
2022.04.30;;;
2022.05.01;;káposztás csülkös babgulyás;
2022.05.02;;sertéspörkölt;nokedli
2022.05.03;;sertéspörkölt;nokedli
2022.05.04;gombaleves;;
2022.05.05;;töltelék;zöldséges tészta
2022.05.06;;töltelék;zöldséges tészta
2022.05.07;;borsópörkölt;
2022.05.08;;borsópörkölt;
2022.05.09;;sült tarja;krumplipüré
2022.05.10;;sült tarja;krumplipüré
2022.05.11;;sült tarja;krumplipüré
2022.05.12;tarhonyaleves;mákos tészta;
2022.05.13;;sertésszelet meggyszósz;főtt krumpli
2022.05.14;;slambuc;
2022.05.15;;slambuc;
2022.05.16;karalábéleves;rántott sajt;bulgur
2022.05.17;karalábéleves;burek;
2022.05.18;;lencsefőzelék;
2022.05.19;;lencsefőzelék;
2022.05.20;csontleves;mákosguba vaníliasodóval;
2022.05.21;;zöldséges fetás csirkemell;
2022.05.22;;rántott csirkemell;petrezselymes burgonya
2022.05.23;;rántott csirkemell;petrezselymes burgonya
2022.05.24;;szarvastokány;rizs
2022.05.25;;resztelt máj;főtt krumpli
2022.05.26;;sóska;halrudak
2022.05.27;;tökfőzelék;
2022.05.28;babgulyás;;kelt kalácsok
2022.05.29;babgulyás;;kelt kalácsok
2022.05.30;babgulyás;;
2022.05.31;;marhatokány;tarhonya
2022.06.01;;marhatokány;tarhonya
2022.06.02;;paprikás krumplis nokedli;saláta
2022.06.03;sárgaborsókrémleves;;puffancs
2022.06.04;;kenyérlángos;
2022.06.05;;sajtos hús;sült krumpli
2022.06.06;borsóleves;sajtos hús;sült krumpli
2022.06.07;;túrós tészta;
2022.06.08;;krumplifőzelék;
2022.06.09;;borsópörkölt;
2022.06.10;;hurka;
2022.06.11;;grízes tészta;
2022.06.12;;rakott káposzta;
2022.06.13;;rakott káposzta;
2022.06.14;;stefánia vagdalt;krumplipüré
2022.06.15;gombaleves;;pogácsa
2022.06.16;gombaleves;;pogácsa
2022.06.17;;karfiolos csirkemell;rizs
2022.06.18;;csirkenyak pörkölt;nokedli
2022.06.19;borsóleves;rántott csirkemell;petrezselymes burgonya
2022.06.20;;rántott csirkemell;petrezselymes burgonya
2022.06.21;;krumplis tészta;
2022.06.22;;zöldséges fetás csirkemell;
2022.06.23;;zöldséges fetás csirkemell;
2022.06.24;;zöldséges fetás csirkemell;
2022.06.25;borsóleves;;
2022.06.26;borsóleves;csülökpörkölt;
2022.06.27;borsóleves;csülökpörkölt;
2022.06.28;;csülökpörkölt;
2022.06.29;;csülökpörkölt;
2022.06.30;;káposztás tészta;
2022.07.01;;túrós tészta;
2022.07.02;gulyásleves;;
2022.07.03;gulyásleves;;
2022.07.04;;tökfőzelék;
2022.07.05;;tökfőzelék;
2022.07.06;;csőben sült krumpli;
2022.07.07;;csőben sült krumpli;
2022.07.08;;hurka;
2022.07.09;;hurka;
2022.07.10;;rántott patiszon;bulgur
2022.07.11;;tyúkpörkölt;nokedli
2022.07.12;;tyúkpörkölt;nokedli
2022.07.13;;tyúkpörkölt;nokedli
2022.07.14;sárgaborsókrémleves;;
2022.07.15;;lecsó;
2022.07.16;;sztrapacska;
2022.07.17;;sztrapacska;
2022.07.18;krumplileves;;
2022.07.19;;;
2022.07.20;krumplileves;;kelt kalácsok
2022.07.21;;milánói;spagetti
2022.07.22;;milánói;spagetti
2022.07.23;;milánói;spagetti
2022.07.24;;rántott patiszon;rizs
2022.07.25;;;
2022.07.26;;;
2022.07.27;paradicsomleves;káposztás tészta;
2022.07.28;paradicsomleves;lencsefőzelék;
2022.07.29;;lencsefőzelék;
2022.07.30;;tejszínes gombás brokkolis csirkemell;penne
2022.07.31;;tejszínes gombás brokkolis csirkemell;penne
2022.08.01;;tejszínes gombás brokkolis csirkemell;penne
2022.08.02;;;
2022.08.03;;;
2022.08.04;;rántott sajt;kukoricás rizs
2022.08.05;;milánói;spagetti
2022.08.06;;milánói;spagetti
2022.08.07;;tökfőzelék;
2022.08.08;tárkonyos szarvasraguleves;;
2022.08.09;tárkonyos szarvasraguleves;;
2022.08.10;tárkonyos szarvasraguleves;;
2022.08.11;;kenyérlángos;
2022.08.12;;túrós tészta;
2022.08.13;;bakonyi sertésszelet;nokedli
2022.08.14;;bakonyi sertésszelet;nokedli
2022.08.15;;bakonyi sertésszelet;nokedli
2022.08.16;sárgaborsókrémleves;;
2022.08.17;sárgaborsókrémleves;;
2022.08.18;;zöldborsós csirketokány ;rizs
2022.08.19;;zöldborsós csirketokány ;
2022.08.20;;slambuc;
2022.08.21;;slambuc;
2022.08.22;;tökfőzelék;
2022.08.23;;kenyérlángos;
2022.08.24;;hurka;
2022.08.25;;hurka;
2022.08.26;;sült csirkecomb;
2022.08.27;;;
2022.08.28;;rántott hús;
2022.08.29;;paprikás krumplis nokedli;
2022.08.30;;paprikás krumplis nokedli;
2022.08.31;;paprikás krumplis nokedli;
2022.09.01;;rántott patiszon;rizs
2022.09.02;;rántott patiszon;rizs
2022.09.03;;sertéspörkölt;nokedli
2022.09.04;;sertéspörkölt;nokedli
2022.09.05;;sertéspörkölt;nokedli
2022.09.06;;lecsó;
2022.09.07;;vadas;csőtészta
2022.09.08;lebbencsleves;vadas;csőtészta
2022.09.09;lebbencsleves;;
2022.09.10;tojásleves;sült csirkecomb;tört krumpli
2022.09.11;tojásleves;sült csirkecomb;tört krumpli
2022.09.12;;káposztás tészta;
2022.09.13;;hentes tokány;rizs
2022.09.14;;lecsó;
2022.09.15;zöldségleves;;
2022.09.16;zöldségleves;;
2022.09.17;babgulyás;;
2022.09.18;babgulyás;;
2022.09.19;;rizses hús;
2022.09.20;;rizses hús;
2022.09.21;;csirkemell roston;
2022.09.22;;csirkemell roston;
2022.09.23;gombaleves;aranygaluska vaníliasodóval;
2022.09.24;;stroganoff bélszín;
2022.09.25;;stroganoff bélszín;
2022.09.26;;krumplifőzelék;
2022.09.27;;krumplifőzelék;
2022.09.28;tojásleves;káposztás tészta;
2022.09.29;;bauernfrühstück;
2022.09.30;;túrós tészta;
2022.10.01;;;
2022.10.02;lebbencsleves;rántott hús;rizs
2022.10.03;;rántott sajt;rizs
2022.10.04;;milánói;spagetti
2022.10.05;;burek;
2022.10.06;;pásztortarhonya;
2022.10.07;;resztelt máj;főtt krumpli
2022.10.08;borsóleves;pulled pork;
2022.10.09;borsóleves;pulled pork;
2022.10.10;;szarvaspörkölt;
2022.10.11;;pulled pork;
2022.10.12;;;
2022.10.13;;mákos tészta;
2022.10.14;gyümölcsleves;;
2022.10.15;;rakott krumpli;
2022.10.16;;rakott krumpli;
2022.10.17;;rántotta;
2022.10.18;gyümölcsleves;rántott patiszon;rizs
2022.10.19;;;
2022.10.20;gyümölcsleves;csirkemell roston;rizs
2022.10.21;;csirkemell roston;rizs
2022.10.22;;;
2022.10.23;tarhonyaleves;tejfölös hús;
2022.10.24;;tejfölös hús;
2022.10.25;;tejfölös hús;
2022.10.26;;paradicsomos húsgombóc;
2022.10.27;;tökfőzellék;
2022.10.28;tyúkhúsleves;;orosz hússaláta
2022.10.29;tyúkhúsleves;;orosz hússaláta
2022.10.30;;;
2022.10.31;tyúkhúsleves;;orosz hússaláta
2022.11.01;tyúkhúsleves;;orosz hússaláta
2022.11.02;;sólet;
2022.11.03;;sólet;
2022.11.04;;sólet;
2022.11.05;brokkolikrémleves;rizses hús;
2022.11.06;brokkolikrémleves;rizses hús;
2022.11.07;;sült tarja;hagymás tört krumpli
2022.11.08;;sült tarja;hagymás tört krumpli
2022.11.09;;káposztás tészta;
2022.11.10;;túrógombóc;
2022.11.11;;sült kacsamell;krokett
2022.11.12;tarhonyaleves;rakott káposzta;
2022.11.13;tarhonyaleves;rakott káposzta;
2022.11.14;;rakott káposzta;
2022.11.15;;;
2022.11.16;;sóska;
2022.11.17;;;
2022.11.18;zöldséges bableves;;pogácsa
2022.11.19;zöldséges bableves;;pogácsa
2022.11.20;;harasztos káposzta;
2022.11.21;;harasztos káposzta;
2022.11.22;;krumplis tészta;
2022.11.23;;rántott sajt;rizs
2022.11.24;;harasztos káposzta;
2022.11.25;;lazac roston;zöldborsós orsó tészta
2022.11.26;csontleves;tyúkpörkölt;nokedli
2022.11.27;csontleves;tyúkpörkölt;nokedli
2022.11.28;csontleves;tyúkpörkölt;nokedli
2022.11.29;;tökfőzelék;
2022.11.30;;rizses hús;
2022.12.01;zöldségleves;sült kacsacomb párolt lilakáposztával;hagymás tört krumpli
2022.12.02;zöldségleves;rizses hús;
2022.12.03;;wellington bélszín;
2022.12.04;;töltött karaj;
2022.12.05;;töltött karaj;
2022.12.06;maggileves;;
2022.12.07;maggileves;lecsó;tarhonya
2022.12.08;;kelkáposzta főzelék;
2022.12.09;;fasírt;sült krumpli
2022.12.10;;tejszínes gombás brokkolis csirkemell;penne
2022.12.11;krumplileves;lángos;
2022.12.12;;tejszínes gombás brokkolis csirkemell;penne
2022.12.13;;káposztás tészta;
2022.12.14;sárgaborsókrémleves;;pogácsa
2022.12.15;;milánói;spagetti
2022.12.16;;milánói;spagetti
2022.12.17;;milánói;spagetti
2022.12.18;frankfurti leves;;pogácsa
2022.12.19;;lazac roston;zöldborsós orsó tészta
2022.12.20;;tatár beefsteak;
2022.12.21;;tatár beefsteak;
2022.12.22;;rántott csirkemell;rizs
2022.12.23;;rántott csirkemell;rizs
2022.12.24;;sült libamáj;birsalmás krokett
2022.12.25;;;
2022.12.26;;;
2022.12.27;;;
2022.12.28;;;
2022.12.29;;;
2022.12.30;korhelyleves;barackos csirkemell;
2022.12.31;korhelyleves;töltött karaj;
