dátum;leves;főétel;köret
2022.01.01;korhelyleves;bakonyi sertésszelet;nokedli
2022.01.02;korhelyleves;bakonyi sertésszelet;nokedli
2022.01.03;;sült karaj;főtt krumpli
2022.01.04;;sült karaj;főtt krumpli
2022.01.05;;resztelt máj;főtt krumpli
2022.01.06;;lazac roston;bulgur
2022.01.07;;zöldborsó főzelék;
2022.01.08;zöldséges bableves;;fánk
2022.01.09;zöldséges bableves;;fánk
2022.01.10;;rakott krumpli;
2022.01.11;;rakott krumpli;
2022.01.12;paradicsomleves;túrós tészta;
2022.01.13;;sóska;
2022.01.14;;kelkáposzta főzelék;
2022.01.15;csontleves;rántott máj;rizs
2022.01.16;csontleves;rántott máj;rizs
2022.01.17;;babfőzelék;
2022.01.18;;babfőzelék;
2022.01.19;;babfőzelék;
2022.01.20;;zöldséges fetás csirkemell;
2022.01.21;;zöldséges fetás csirkemell;
2022.01.22;;paprikás krumplis nokedli;nokedli
2022.01.23;;csirkebelsőség pörkölt;tarhonya
2022.01.24;;csirkebelsőség pörkölt;tarhonya
2022.01.25;zöldségleves;grízes tészta;
2022.01.26;zöldségleves;grízes tészta;
2022.01.27;sárgaborsókrémleves;macok;
2022.01.28;frankfurti leves;;pogácsa
2022.01.29;frankfurti leves;;pogácsa
2022.01.30;frankfurti leves;;pogácsa
2022.01.31;tarhonyaleves;grízes tészta;
2022.02.01;tarhonyaleves;lazac roston;zöldborsós orsó tészta
2022.02.02;tarhonyaleves;lazac roston;zöldborsós orsó tészta
2022.02.03;tárkonyos vaddiszóleves;;pozsonyi kifli
2022.02.04;tárkonyos vaddiszóleves;;pozsonyi kifli
2022.02.05;;rakott káposzta;
2022.02.06;;lecsós szelet;rizs
2022.02.07;;lecsós szelet;rizs
2022.02.08;zöldséges bableves;;tepertős pogácsa
2022.02.09;zöldséges bableves;;tepertős pogácsa
2022.02.10;zöldséges bableves;;tepertős pogácsa
2022.02.11;;krumplifőzelék;
2022.02.12;;krumplifőzelék;
2022.02.13;;paradicsomos húsgombóc;
2022.02.14;;hentes tokány;rizs
2022.02.15;;paradicsomos húsgombóc;
2022.02.16;;káposztás tészta;
2022.02.17;;;
2022.02.18;;tökfőzelék;
2022.02.19;karalábéleves;szarvaszselet erdei áfonyamártással;krokett
2022.02.20;karalábéleves;brassói;sült krumpli
2022.02.21;karalábéleves;szarvaszselet erdei áfonyamártással;krokett
2022.02.22;;brassói;sült krumpli
2022.02.23;;;
2022.02.24;;lazac roston;rizs
2022.02.25;;harasztos káposzta;
2022.02.26;;harasztos káposzta;
2022.02.27;;harasztos káposzta;
2022.02.28;;lencsefőzelék;
2022.03.01;;harasztos káposzta;
2022.03.02;;harasztos káposzta;
2022.03.03;;túrós tészta;
2022.03.04;zellerkrémleves;rántott sajt;rizs
2022.03.05;;aranygaluska vaníliasodóval;
2022.03.06;;tyúkpörkölt;
2022.03.07;;krumplifőzelék;
2022.03.08;;krumplifőzelék;
2022.03.09;;lecsó;
2022.03.10;gyümölcsleves;;
2022.03.11;tojásleves;mákos tészta;
2022.03.12;;tejszínes gombás brokkolis csirkemell;penne
2022.03.13;;tejszínes gombás brokkolis csirkemell;penne
2022.03.14;krumplileves;lángos;
2022.03.15;;rántott hús;orosz hússaláta
2022.03.16;;rántott hús;krumplipüré
2022.03.17;;harasztos káposzta;
2022.03.18;tojásleves;grízes tészta;
2022.03.19;;;
2022.03.20;;rakott krumpli;
2022.03.21;;rakott krumpli;
2022.03.22;tarhonyaleves;sajtos tepsis karfiol;
2022.03.23;;sajtos tepsis karfiol;
2022.03.24;;csirkemell meggyszósszal;főtt krumpli
2022.03.25;babgulyás;palacsinta;
2022.03.26;babgulyás;palacsinta;
2022.03.27;brokkolikrémleves;rakott káposzta;
2022.03.28;;fokhagymás sertésszelet;tört krumpli
2022.03.29;;rakott káposzta;
2022.03.30;;rakott káposzta;
2022.03.31;;sóska;
2022.04.01;csirkeraguleves;;
2022.04.02;;resztelt máj;főtt krumpli
2022.04.03;csirkeraguleves;resztelt máj;főtt krumpli
2022.04.04;;hurka kolbász;
2022.04.05;;milánói;spagetti
2022.04.06;;milánói;spagetti
2022.04.07;;milánói;spagetti
2022.04.08;;szarvastokány gombával;vargányás metélt
2022.04.09;;szarvastokány gombával;vargányás metélt
2022.04.10;;sólet;
2022.04.11;;szarvastokány gombával;vargányás metélt
2022.04.12;;sólet;
2022.04.13;;hurka;
2022.04.14;;milánói;spagetti
2022.04.15;;rántott máj;
2022.04.16;;;
2022.04.17;;;
2022.04.18;;sült füstölt-főtt tarja;
2022.04.19;;tepsis tészta;
2022.04.20;paradicsomleves;;
2022.04.21;;tepsis tészta;
2022.04.22;;túrós tészta;
2022.04.23;;;
2022.04.24;;tejszínes gombás brokkolis csirkemell;penne
