dátum;leves;főétel;köret
2023.01.01;;töltött karaj;francia saláta
2023.01.02;korhelyleves;töltött karaj;francia saláta
2023.01.03;korhelyleves;töltött karaj;francia saláta
2023.01.04;;krumplifőzelék;
2023.01.05;paradicsomleves;töltött karaj;
2023.01.06;;rakott káposzta;
2023.01.07;;rakott káposzta;
2023.01.08;zöldséges bableves;;bejgli
2023.01.09;zöldséges bableves;;bejgli
2023.01.10;;sertéspörkölt;orsó tészta
2023.01.11;zöldséges bableves;;
2023.01.12;;borsópörkölt;
2023.01.13;;sertéspörkölt;orsó tészta
2023.01.14;tárkonyos szarvasraguleves;;
2023.01.15;tárkonyos szarvasraguleves;;fánk
2023.01.16;tárkonyos szarvasraguleves;;fánk
2023.01.17;;grillezett csirkemell;
2023.01.18;;grillezett csirkemell;
2023.01.19;;grillezett csirkemell;
2023.01.20;tojásleves;grillezett csirkemell;
2023.01.21;;tejfölös hús;
2023.01.22;;tejfölös hús;
2023.01.23;;tejfölös hús;
2023.01.24;;sült kolbász;
2023.01.25;;kelkáposzta főzelék;
2023.01.26;;kelkáposzta főzelék;
2023.01.27;csontleves;rántott sajt;
2023.01.28;csontleves;szarvasszelet erdei áfonyamártással;szalvéta gombóc
2023.01.29;csontleves;szarvasszelet erdei áfonyamártással;szalvéta gombóc
2023.01.30;csontleves;szarvasszelet erdei áfonyamártással;szalvéta gombóc
2023.01.31;csontleves;túrós tészta;
2023.02.01;;milánói;spagetti
2023.02.02;;milánói;spagetti
2023.02.03;;zöldséges fetás csirkemell;
2023.02.04;tarhonyaleves;bakonyi sertésszelet;nokedli
2023.02.05;tarhonyaleves;bakonyi sertésszelet;nokedli
2023.02.06;tarhonyaleves;bakonyi sertésszelet;nokedli
2023.02.07;;kenyérlángos;
2023.02.08;;sült kolbász;
2023.02.09;sárgaborsókrémleves;;
2023.02.10;;harasztos káposzta;
2023.02.11;;harasztos káposzta;
2023.02.12;;harasztos káposzta;
2023.02.13;gombaleves;;bejgli
2023.02.14;;harasztos káposzta;
2023.02.15;;babfőzelék;
2023.02.16;frankfurti leves;mákos tészta;
2023.02.17;;babfőzelék;
2023.02.18;zellerkrémleves;csirkemell roston;
2023.02.19;gulyásleves;;fánk
2023.02.20;;babfőzelék;
2023.02.21;;;
2023.02.22;;borsópörkölt;
2023.02.23;;hurka kolbász;
2023.02.24;;;
2023.02.25;;rakott krumpli;
2023.02.26;;rakott krumpli;
2023.02.27;;;
2023.02.28;;tepsis tészta;
2023.03.01;;tepsis tészta;
2023.03.02;;paprikás krumplis nokedli;
2023.03.03;;paprikás krumplis nokedli;
2023.03.04;;brassói;sült krumpli
2023.03.05;;brassói;sült krumpli
2023.03.06;;brassói;sült krumpli
2023.03.07;;kocsonya;
2023.03.08;;kocsonya;
2023.03.09;;kocsonya;
2023.03.10;;hurka kolbász;
2023.03.11;tyúkhúsleves;;
2023.03.12;tyúkhúsleves;tyúkpörkölt;nokedli
2023.03.13;tyúkhúsleves;tyúkpörkölt;nokedli
2023.03.14;;rizses hús;
2023.03.15;zellerkrémleves;rántott máj;
2023.03.16;zellerkrémleves;tyúkpörkölt;nokedli
2023.03.17;;halrudak;bulgur
2023.03.18;;;
2023.03.19;;;
2023.03.20;;;
2023.03.21;;;
2023.03.22;;;
2023.03.23;;;
