dátum;leves;főétel;köret
2021.05.25;;krumplifőzelék;
2021.05.26;;hurka kolbász;párolt káposzta
2021.05.27;;székelykáposzta;
2021.05.28;;székelykáposzta;
2021.05.29;;borsópörkölt;
2021.05.30;;rántott csirkemell;petrezselymes burgonya
2021.05.31;;rántott csirkemell;petrezselymes burgonya
2021.06.01;;krumplis tészta;
2021.06.02;;;
2021.06.03;paradicsomleves;túrós tészta;
2021.06.04;paradicsomleves;rántott sajt;rizs
2021.06.05;;csípős csirkeszárnyak;zelleres ragu
2021.06.06;karalábéleves;töltött karaj;petrezselymes burgonya
2021.06.07;karalábéleves;tojásos tészta;
2021.06.08;;töltött karaj;petrezselymes burgonya
2021.06.09;;töltött karaj;petrezselymes burgonya
2021.06.10;;bauernfrühstück;
2021.06.11;krumplileves;;tepertős pogácsa
2021.06.12;;sertésszűz tejszínes gombamártással;penne
2021.06.13;;sertésszűz tejszínes gombamártással;penne
2021.06.14;;sajtos hús;
2021.06.15;;sajtos hús;
2021.06.16;;hamburger;
2021.06.17;;marhatokány;tarhonya
2021.06.18;;marhatokány;tarhonya
2021.06.19;borsóleves;zöldséges fetás csirke;
2021.06.20;borsóleves;zöldséges fetás csirke;
2021.06.21;;marhasült meggyszósszal;főtt krumpli
2021.06.22;;marhasült meggyszósszal;főtt krumpli
2021.06.23;;mákos tészta;
2021.06.24;;zöldséges fetás csirke;
2021.06.25;;zöldséges fetás csirke;
2021.06.26;;zöldséges fetás csirke;
2021.06.27;borsóleves;marhasült meggyszósszal;főtt krumpli
2021.06.28;borsóleves;marhasült meggyszósszal;főtt krumpli
2021.06.29;borsóleves;marhasült meggyszósszal;főtt krumpli
2021.06.30;;túrós tészta;
2021.07.01;;;
2021.07.02;;pulled pork;
2021.07.03;;pulled pork;
2021.07.04;zöldségleves;pulled pork;
2021.07.05;zöldségleves;;
2021.07.06;;tökfőzelék;
2021.07.07;;túrós tészta;
2021.07.08;;milánói;spagetti
2021.07.09;;csirkemell roston;brokkolis bulgur
2021.07.10;;hurka kolbász;
2021.07.11;gulyásleves;;
2021.07.12;gulyásleves;;
2021.07.13;;tökfőzelék;
2021.07.14;gulyásleves;;
2021.07.15;;tökfőzelék;
2021.07.16;;rizses hús;
2021.07.17;;;
2021.07.18;;rizses hús;
2021.07.19;;rántott karfiol;
2021.07.20;;rántott patiszon;
2021.07.21;;rántott sajt;petrezselymes burgonya
2021.07.22;;paprikás krumplis nokedli;
2021.07.23;;paprikás krumplis nokedli;
2021.07.24;;;
2021.07.25;tarhonyaleves;rántott sajt;rizs
2021.07.26;;zöldséges fetás csirke;
2021.07.27;;zöldséges fetás csirke;
2021.07.28;;krumplifőzelék;
2021.07.29;;lazac roston;tzatziki saláta
2021.07.30;;tökfőzelék;
2021.07.31;;;
2021.08.01;;;
2021.08.02;;hurka kolbász;
2021.08.03;;rántott patiszon;rizs
2021.08.04;;rántott patiszon;rizs
2021.08.05;;;
2021.08.06;;paradicsomos húsgombóc;
2021.08.07;;paradicsomos húsgombóc;
2021.08.08;;paradicsomos húsgombóc;
2021.08.09;;tejszínes gombás brokkolis csirkemell;penne
2021.08.10;;tejszínes gombás brokkolis csirkemell;penne
2021.08.11;;krumplis tészta;
2021.08.12;;krumplis tészta;
2021.08.13;;rántott patiszon;rizs
2021.08.14;;;
2021.08.15;;lazac roston;kukoricás rizs
2021.08.16;;;
2021.08.17;;zöldséges fetás csirke;
2021.08.18;;zöldséges fetás csirke;
2021.08.19;;slambuc;
2021.08.20;bakonyi betyárleves;;
2021.08.21;bakonyi betyárleves;;
2021.08.22;bakonyi betyárleves;;
2021.08.23;;slambuc;
2021.08.24;;lecsó;
2021.08.25;;;
2021.08.26;;székely káposzta;
2021.08.27;;rántott hús;krumplipüré
2021.08.28;meggyleves;sertéspörkölt;szarvacska
2021.08.29;meggyleves;sertéspörkölt;szarvacska
2021.08.30;;;
2021.08.31;;sertéspörkölt;szarvacska
2021.09.01;;káposztás tészta;
2021.09.02;;tökfőzelék;
2021.09.03;csirkeraguleves;;
2021.09.04;csirkeraguleves;;
2021.09.05;;rántott patiszon;
2021.09.06;gyümölcsleves;;
2021.09.07;;lecsó;
2021.09.08;;lecsós marhatokány;rizs
2021.09.09;;lecsós marhatokány;rizs
2021.09.10;karalábéleves;;
2021.09.11;;rakott káposzta;
2021.09.12;rántott leves;csirkenyak pörkölt;nokedli
2021.09.13;rántott leves;csirkenyak pörkölt;nokedli
2021.09.14;;rakott káposzta;
2021.09.15;;csőben sült burgonya;
2021.09.16;;csőben sült burgonya;
2021.09.17;;lencsefőzelék;
2021.09.18;;lencsefőzelék;
2021.09.19;;tejfölös hús;
2021.09.20;;tejfölös hús;
2021.09.21;;káposztás tészta;
2021.09.22;;burek;
2021.09.23;;burek;
2021.09.24;sárgaborsókrémleves;;pogácsa
2021.09.25;tyúkhúsleves;rántott hús;orosz hússaláta
2021.09.26;tyúkhúsleves;rántott hús;orosz hússaláta
2021.09.27;tyúkhúsleves;rántott hús;orosz hússaláta
2021.09.28;tyúkhúsleves;milánói;spagetti
2021.09.29;;túrós tészta;
2021.09.30;;milánói;spagetti
2021.10.01;;rizses hús;
2021.10.02;;rizses hús;
2021.10.03;;lazac roston;krumplipüré
2021.10.04;;marhapörkölt;nokedli
2021.10.05;;marhapörkölt;nokedli
2021.10.06;;káposztás tészta;
2021.10.07;krumplileves;;
2021.10.08;krumplileves;rántott sajt;rizs
2021.10.09;csirkeraguleves;szarvasszelet erdei áfonyamártással;szalvétagombóc
2021.10.10;csirkeraguleves;szarvasszelet erdei áfonyamártással;szalvétagombóc
2021.10.11;;sertéspörkölt;szarvacska
2021.10.12;;sertéspörkölt;szarvacska
2021.10.13;zöldséges bableves;;
2021.10.14;zöldséges bableves;;
2021.10.15;zöldséges bableves;;
2021.10.16;;szarvasszelet tejszínes gombamártással;rizs
2021.10.17;;szarvasszelet tejszínes gombamártással;rizs
2021.10.18;;szarvasszelet tejszínes gombamártással;rizs
2021.10.19;;túrós tészta;
2021.10.20;;paprikás krumplis nokedli;
2021.10.21;;paprikás krumplis nokedli;
2021.10.22;karalábéleves;sztrapacska;
2021.10.23;;;
2021.10.24;karalábéleves;rakott kelkáposzta;
2021.10.25;;rakott kelkáposzta;
