dátum;leves;főétel;köret
2025.01.01;korhelyleves;csülök pecsenye;főtt krumpli
2025.01.02;korhelyleves;csülök pecsenye;főtt krumpli
2025.01.03;korhelyleves;lencsefőzelék;
2025.01.04;;rakott krumpli;
2025.01.05;;rakott krumpli;
2025.01.06;;rakott krumpli;
2025.01.07;;paprikás krumplis nokedli;
2025.01.08;karalábéleves;halrudak;majonézes krumplisaláta
2025.01.09;karalábéleves;halrudak;majonézes krumplisaláta
2025.01.10;;tepsis tészta;
2025.01.11;;tepsis tészta;
2025.01.12;;lazac roston;bulgur
2025.01.13;;pincepörkölt;
2025.01.14;lebbencsleves;;sajtos stangli
2025.01.15;;hamburger;
2025.01.16;;sólet;
2025.01.17;;sólet;
2025.01.18;;rakott káposzta;
2025.01.19;;rakott káposzta;
2025.01.20;csontleves;rakott káposzta;
2025.01.21;csontleves;rizses hús;
2025.01.22;;füstölt makréla;csőben sült krumpli
2025.01.23;;rizses hús;
2025.01.24;;halrudak;bulgur
2025.01.25;frankfurti leves;;kelt kalácsok
2025.01.26;frankfurti leves;;kelt kalácsok
2025.01.27;;krumplifőzelék;fasírt
2025.01.28;;krumplifőzelék;fasírt
2025.01.29;;túrós tészta;
2025.01.30;;sóska;
2025.01.31;;lazac roston;bulgur
2025.02.01;;harasztos káposzta;
2025.02.02;;bakonyi sertésszelet;nokedli
2025.02.03;;bakonyi sertésszelet;nokedli
2025.02.04;;bakonyi sertésszelet;nokedli
2025.02.05;zellerkrémleves;lazac roston;rizs
2025.02.06;;harasztos káposzta;
2025.02.07;tárkonyos szarvasraguleves;;
2025.02.08;tárkonyos szarvasraguleves;;
2025.02.09;tárkonyos szarvasraguleves;kocsonya;
2025.02.10;;kocsonya;
2025.02.11;;kocsonya;
2025.02.12;;kocsonya;
2025.02.13;;tócsni;
2025.02.14;palócleves;;pogácsa
2025.02.15;palócleves;;pogácsa
2025.02.16;;dubarry szelet;krumplipüré
2025.02.17;palócleves;dubarry szelet;krumplipüré
2025.02.18;;dubarry szelet;krumplipüré
2025.02.19;;tökfőzelék;
2025.02.20;;tökfőzelék;
2025.02.21;halászlé;harcsapaprikás;túrós csusza
2025.02.22;halászlé;rakott káposzta;
2025.02.23;brokkolikrémleves;rántott sajt;rizs
2025.02.24;brokkolikrémleves;rántott sajt;rizs
2025.02.25;;rakott káposzta;
2025.02.26;;túrógombóc;
2025.02.27;;bundáskenyér;
2025.02.28;sárgaborsókrémleves;;
2025.03.01;;kenyérlángos;
2025.03.02;zöldséges bableves;;
2025.03.03;zöldséges bableves;;
2025.03.04;zöldséges bableves;;
2025.03.05;;mákos tészta;
2025.03.06;;sóska;
2025.03.07;;káposztás tészta;
2025.03.08;borsóleves;rántott csirkemell;krumplipüré
2025.03.09;borsóleves;rántott csirkemell;krumplipüré
2025.03.10;borsóleves;rántott csirkemell;krumplipüré
2025.03.11;paradicsomleves;bauernfrühstück;
2025.03.12;;kenyérlángos;
2025.03.13;paradicsomleves;kenyérlángos;
2025.03.14;;babfőzelék;
2025.03.15;grízgombócleves;babfőzelék;
2025.03.16;grízgombócleves;stroganoff bélszín;rizs
2025.03.17;;stroganoff bélszín;rizs
2025.03.18;;slambuc;
2025.03.19;;slambuc;
2025.03.20;zellerkrémleves;;
2025.03.21;tyúkhúsleves;;
2025.03.22;tyúkhúsleves;rántott hús;orosz hússaláta
2025.03.23;tyúkhúsleves;rántott hús;orosz hússaláta
2025.03.24;;;
2025.03.25;;rizses hús;
2025.03.26;;rizses hús;
2025.03.27;;rizses hús;
2025.03.28;paradicsomleves;túrós tészta;
2025.03.29;karalábéleves;tejfölös hús;
