dátum;leves;főétel;köret
2020.01.01;korhelyleves;rántott hús;petrezselymes burgonya
2020.01.02;karalábéleves;;
2020.01.03;karalábéleves;rántott csirkemell;krumplipüré
2020.01.04;;harasztos káposzta;
2020.01.05;;;
2020.01.06;;;
2020.01.07;;;
2020.01.08;;;
2020.01.09;;;
2020.01.10;;;
2020.01.11;;;
2020.01.12;;;
2020.01.13;;;
2020.01.14;;;
2020.01.15;;;
2020.01.16;;;
2020.01.17;;;
2020.01.18;;;
2020.01.19;;;
2020.01.20;;;
2020.01.21;;;
2020.01.22;;;
2020.01.23;;;
2020.01.24;;;
2020.01.25;bableves;;
2020.01.26;bableves;;
2020.01.27;;borsópörkölt;
2020.01.28;;tepsis káposzta;
2020.01.29;raguleves;csirkemell roston;rizs
2020.01.30;raguleves;csirkemell roston;rizs
2020.01.31;sárgaborsókrémleves;;kakaós csiga
2020.02.01;szilvaleves;sertésszűz budapest módra;rizs
2020.02.02;szilvaleves;sertésszűz budapest módra;rizs
2020.02.03;;sertésszűz budapest módra;bulgur
2020.02.04;;;
2020.02.05;;paprikás krumplis nokedli;
2020.02.06;;paprikás krumplis nokedli;
2020.02.07;;;
2020.02.08;csontleves;rántott hús;petrezselymes burgonya
2020.02.09;csontleves;csípős csirkeszárnyak;
2020.02.10;csontleves;stefánia vagdalt;
2020.02.11;;rizses hús;
2020.02.12;;tökfőzelék;
2020.02.13;;resztelt máj;
2020.02.14;;hurka kolbász;
2020.02.15;tárkonyos sertésraguleves;;fánk
2020.02.16;tárkonyos sertésraguleves;;kakaós csiga
2020.02.17;;babfőzelék;
2020.02.18;;rizses hús;
2020.02.19;;tepsis tészta;
2020.02.20;;;
2020.02.21;;harasztos káposzta;
2020.02.22;;harasztos káposzta;
2020.02.23;zöldségleves;harasztos káposzta;
2020.02.24;zöldségleves;resztelt máj;főtt krumpli
2020.02.25;;harasztos káposzta;
2020.02.26;csontleves;hortobágyi húsos palacsinta;
2020.02.27;csontleves;hortobágyi húsos palacsinta;
2020.02.28;;;
2020.02.29;;milánói;spagetti
2020.03.01;csontleves;sertészszűz roston;rizs
2020.03.02;csontleves;sertészszűz roston;rizs
2020.03.03;;hurka kolbász;
2020.03.04;;hurka kolbász;
2020.03.05;;marhasült meggyszósszal;főtt krumpli
2020.03.06;;sertészszűz roston;
2020.03.07;csirkeraguleves;túrós tészta;
2020.03.08;;marhasült meggyszósszal;főtt krumpli
2020.03.09;csirkeraguleves;sertéspörkölt;nokedli
2020.03.10;csirkeraguleves;sertéspörkölt;nokedli
2020.03.11;;;
2020.03.12;;;
2020.03.13;;;
2020.03.14;;lecsó;
2020.03.15;halászlé;stroganoff bélszín;rizs
2020.03.16;halászlé;stroganoff bélszín;rizs
2020.03.17;tarhonyaleves;kelkáposztafőzelék;
2020.03.18;tojásleves;krumplis tészta;
2020.03.19;;lencsefőzelék;
2020.03.20;;lencsefőzelék;
2020.03.21;gyümölcsleves;tejszínes gombás brokkolis csirkemell;penne
2020.03.22;;rakott káposzta;
2020.03.23;;tejszínes gombás brokkolis csirkemell;penne
2020.03.24;;rakott káposzta;
2020.03.25;;rakott káposzta;
2020.03.26;lebbencsleves;krumplifőzelék;
2020.03.27;;zöldséges fetás csirke;
